Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
19.0,2.0,44.0,152.0,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.1,766.0,797.0,795.0,779.0,401.88,173.75,170.0,176.88,0.12,0.0,0.0,0.1
19.0,2.0,45.0,152.02,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.1,766.0,797.0,795.0,779.0,401.88,175.0,170.62,178.12,0.12,0.0,0.0,0.1
19.0,2.0,46.0,152.03,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.1,766.0,797.0,795.0,779.0,401.88,175.0,170.62,178.12,0.1,0.0,0.0,0.1
19.0,2.0,47.0,152.05,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.2,766.0,797.0,795.0,779.0,403.12,176.25,170.0,176.88,0.12,0.01,0.0,0.1
19.0,2.0,48.0,152.07,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.2,766.0,797.0,795.0,779.0,403.75,177.5,170.62,176.88,0.12,0.01,0.0,0.1
19.0,2.0,49.0,152.08,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.2,766.0,797.0,795.0,779.0,403.12,176.88,168.12,174.38,0.12,0.0,0.0,0.1
19.0,2.0,50.0,152.1,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.2,766.0,797.0,795.0,779.0,403.75,176.88,170.0,175.62,0.1,0.0,0.0,0.1
19.0,2.0,51.0,152.12,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.2,766.0,797.0,795.0,779.0,403.75,176.88,170.0,177.5,0.1,0.0,0.0,0.1
19.0,2.0,52.0,152.13,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.2,766.0,797.0,795.0,779.0,404.38,178.12,171.25,175.62,0.12,0.0,0.0,0.1
19.0,2.0,53.0,152.15,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.3,766.0,797.0,795.0,779.0,404.38,178.12,170.62,175.62,0.12,0.0,0.0,0.1
19.0,2.0,54.0,152.17,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.3,767.0,797.0,795.0,779.0,404.38,176.88,171.88,174.38,0.12,0.0,0.0,0.1
19.0,2.0,55.0,152.18,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.3,767.0,797.0,795.0,779.0,405.0,176.88,171.88,171.88,0.12,0.01,0.0,0.1
19.0,2.0,56.0,152.2,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.3,767.0,797.0,795.0,779.0,405.0,180.0,174.38,173.75,0.12,0.0,0.0,0.1
19.0,2.0,57.0,152.22,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,810.4,767.0,797.0,795.0,779.0,405.0,180.62,173.75,175.0,0.12,0.0,0.0,0.1
19.0,2.0,58.0,152.23,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,810.4,767.0,797.0,795.0,779.0,405.0,180.62,173.75,175.0,0.12,0.01,0.0,0.1
19.0,2.0,59.0,152.25,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,810.4,767.0,797.0,795.0,779.0,406.88,180.0,171.25,174.38,0.12,0.01,0.0,0.1
19.0,3.0,0.0,152.27,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,810.4,767.0,797.0,795.0,779.0,409.38,179.38,170.62,174.38,0.12,0.01,0.0,0.1
19.0,3.0,1.0,152.28,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.4,767.0,797.0,795.0,779.0,408.12,179.38,170.62,175.62,0.12,0.01,0.0,0.09
19.0,3.0,2.0,152.3,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.4,767.0,797.0,795.0,779.0,407.5,176.25,168.75,175.0,0.12,0.01,0.0,0.09
19.0,3.0,3.0,152.32,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.5,767.0,797.0,795.0,779.0,406.88,176.88,171.25,177.5,0.12,0.01,0.0,0.09
19.0,3.0,4.0,152.33,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.5,767.0,797.0,795.0,779.0,406.88,176.88,171.25,177.5,0.12,0.0,0.0,0.09
19.0,3.0,5.0,152.35,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.5,767.0,797.0,795.0,779.0,406.88,176.25,170.0,175.62,0.12,0.0,0.0,0.09
19.0,3.0,6.0,152.37,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.5,767.0,797.0,795.0,779.0,406.25,177.5,170.62,178.75,0.12,0.01,0.0,0.09
19.0,3.0,7.0,152.38,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.5,767.0,797.0,795.0,779.0,406.25,178.12,168.75,181.88,0.12,0.01,0.0,0.09
19.0,3.0,8.0,152.4,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.6,767.0,797.0,795.0,779.0,406.88,173.75,166.88,178.75,0.12,0.01,0.0,0.09
19.0,3.0,9.0,152.42,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.6,767.0,797.0,795.0,779.0,406.88,173.75,168.12,178.75,0.12,0.01,0.0,0.09
19.0,3.0,10.0,152.43,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.6,767.0,797.0,795.0,779.0,406.88,173.75,168.12,178.75,0.12,0.0,0.0,0.09
19.0,3.0,11.0,152.45,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.7,767.0,797.0,795.0,779.0,404.38,175.0,170.62,180.0,0.12,0.0,0.0,0.09
19.0,3.0,12.0,152.47,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.7,767.0,797.0,795.0,779.0,404.38,173.75,171.25,178.12,0.12,0.0,0.0,0.09
19.0,3.0,13.0,152.48,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.7,767.0,797.0,795.0,779.0,405.0,178.12,171.25,178.12,0.12,0.0,0.0,0.1
19.0,3.0,14.0,152.5,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.7,767.0,797.0,795.0,779.0,405.0,176.25,168.75,175.62,0.12,0.0,0.0,0.1
19.0,3.0,15.0,152.52,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.8,767.0,797.0,795.0,779.0,406.25,175.0,170.62,175.62,0.12,0.0,0.0,0.1
19.0,3.0,16.0,152.53,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.8,767.0,797.0,795.0,779.0,406.25,175.0,170.62,178.12,0.12,0.0,0.0,0.1
19.0,3.0,17.0,152.55,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.8,767.0,797.0,795.0,779.0,406.88,176.25,170.0,178.12,0.12,0.0,0.0,0.1
19.0,3.0,18.0,152.57,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.8,767.0,797.0,795.0,779.0,406.25,175.0,171.88,174.38,0.12,0.0,0.0,0.1
19.0,3.0,19.0,152.58,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.8,767.0,797.0,795.0,779.0,406.25,177.5,174.38,175.0,0.12,0.01,0.0,0.09
19.0,3.0,20.0,152.6,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,810.9,767.0,797.0,795.0,779.0,406.25,180.62,175.0,175.0,0.12,0.01,0.0,0.09
19.0,3.0,21.0,152.62,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.9,767.0,797.0,795.0,779.0,406.88,180.62,171.88,174.38,0.12,0.0,0.0,0.1
19.0,3.0,22.0,152.63,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.9,767.0,797.0,795.0,779.0,406.88,180.62,171.88,174.38,0.12,0.01,0.0,0.1
19.0,3.0,23.0,152.65,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.9,767.0,797.0,795.0,779.0,406.88,180.0,173.12,174.38,0.12,0.01,0.0,0.1
19.0,3.0,24.0,152.67,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,810.9,767.0,797.0,795.0,779.0,410.0,180.0,170.62,175.0,0.12,0.01,0.0,0.1
19.0,3.0,25.0,152.68,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,811.0,767.0,798.0,795.0,779.0,410.0,180.62,173.75,178.12,0.12,0.01,0.0,0.09
19.0,3.0,26.0,152.7,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,811.0,767.0,798.0,795.0,779.0,409.38,179.38,171.25,177.5,0.12,0.01,0.0,0.09
19.0,3.0,27.0,152.72,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,811.0,767.0,798.0,795.0,779.0,408.12,176.25,168.75,175.0,0.12,0.01,0.0,0.1
19.0,3.0,28.0,152.73,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,811.0,767.0,798.0,795.0,779.0,408.12,176.25,168.75,175.0,0.12,0.0,0.0,0.1
19.0,3.0,29.0,152.75,4.449,15.17857143,2.714285714,6.628064516,0.0,799.9,800.6,811.0,767.0,798.0,795.0,779.0,407.5,176.25,168.75,175.0,0.12,0.01,0.0,0.09
19.0,3.0,30.0,152.77,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,811.1,767.0,798.0,795.0,779.0,406.88,177.5,171.25,176.88,0.14,0.01,0.0,0.09
19.0,3.0,31.0,152.78,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,811.1,767.0,798.0,795.0,779.0,406.88,177.5,170.62,177.5,0.12,0.0,0.0,0.09
19.0,3.0,32.0,152.8,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,811.1,767.0,798.0,795.0,779.0,406.25,174.38,167.5,173.75,0.12,0.01,0.0,0.09
19.0,3.0,33.0,152.82,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,811.1,767.0,798.0,795.0,779.0,406.25,175.0,170.0,176.88,0.12,0.01,0.0,0.09
19.0,3.0,34.0,152.83,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.1,767.0,798.0,795.0,779.0,406.25,175.0,170.0,177.5,0.12,0.01,0.0,0.09
19.0,3.0,35.0,152.85,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.1,767.0,798.0,795.0,779.0,405.0,176.88,168.12,177.5,0.12,0.01,0.0,0.09
19.0,3.0,36.0,152.87,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.2,767.0,798.0,795.0,779.0,406.25,179.38,171.25,180.62,0.14,0.0,0.0,0.09
19.0,3.0,37.0,152.88,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.2,767.0,798.0,795.0,779.0,408.12,183.75,171.25,181.25,0.12,0.01,0.0,0.09
19.0,3.0,38.0,152.9,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.3,767.0,798.0,795.0,779.0,406.25,176.25,166.88,178.75,0.12,0.01,0.0,0.09
19.0,3.0,39.0,152.92,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.3,767.0,798.0,795.0,779.0,405.0,171.88,165.0,176.88,0.12,0.01,0.0,0.1
19.0,3.0,40.0,152.93,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.3,767.0,798.0,795.0,779.0,405.0,171.88,165.0,176.88,0.12,0.0,0.0,0.1
19.0,3.0,41.0,152.95,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.3,767.0,798.0,795.0,779.0,405.0,173.75,168.12,178.75,0.12,0.0,0.0,0.09
19.0,3.0,42.0,152.97,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.3,767.0,798.0,795.0,779.0,406.25,174.38,170.0,180.0,0.12,0.0,0.0,0.1
19.0,3.0,43.0,152.98,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.3,768.0,798.0,795.0,779.0,403.75,176.25,170.0,180.0,0.12,0.0,0.0,0.09
19.0,3.0,44.0,153.0,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.4,768.0,798.0,795.0,779.0,403.75,175.0,170.0,178.75,0.12,0.0,0.0,0.09
19.0,3.0,45.0,153.02,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.4,768.0,798.0,795.0,779.0,403.75,176.25,171.25,180.0,0.12,0.0,0.0,0.09
19.0,3.0,46.0,153.03,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.4,768.0,798.0,795.0,779.0,403.75,176.25,171.25,180.0,0.12,0.0,0.0,0.09
19.0,3.0,47.0,153.05,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.4,768.0,798.0,795.0,779.0,403.75,176.25,171.25,180.62,0.12,0.0,0.0,0.1
19.0,3.0,48.0,153.07,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.5,768.0,798.0,795.0,779.0,404.38,175.0,168.75,176.88,0.12,0.0,0.0,0.09
19.0,3.0,49.0,153.08,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.5,768.0,798.0,795.0,779.0,403.75,173.75,170.0,175.62,0.14,0.0,0.0,0.1
19.0,3.0,50.0,153.1,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.5,768.0,798.0,795.0,779.0,404.38,176.88,171.88,178.12,0.12,0.0,0.0,0.09
19.0,3.0,51.0,153.12,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.5,768.0,798.0,795.0,779.0,404.38,176.88,170.62,177.5,0.14,0.01,0.0,0.1
19.0,3.0,52.0,153.13,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.6,768.0,798.0,795.0,779.0,404.38,176.88,170.62,177.5,0.14,0.01,0.0,0.1
19.0,3.0,53.0,153.15,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.6,768.0,798.0,795.0,779.0,405.0,177.5,171.25,177.5,0.14,0.01,0.0,0.1
19.0,3.0,54.0,153.17,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.6,768.0,798.0,795.0,779.0,406.25,180.0,174.38,180.0,0.14,0.01,0.0,0.1
19.0,3.0,55.0,153.18,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.6,768.0,798.0,795.0,779.0,407.5,180.62,171.88,178.12,0.17,0.01,0.0,0.1
19.0,3.0,56.0,153.2,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.6,768.0,798.0,795.0,779.0,407.5,177.5,168.75,175.0,0.17,0.01,0.0,0.1
19.0,3.0,57.0,153.22,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.7,768.0,798.0,795.0,779.0,407.5,175.0,170.0,174.38,0.17,0.01,0.0,0.11
19.0,3.0,58.0,153.23,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.7,768.0,798.0,795.0,779.0,407.5,175.0,170.0,174.38,0.17,0.0,0.0,0.11
19.0,3.0,59.0,153.25,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.7,768.0,798.0,795.0,779.0,406.25,176.88,173.75,176.88,0.17,0.01,0.0,0.1
19.0,4.0,0.0,153.27,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.7,768.0,798.0,795.0,779.0,406.88,178.12,173.75,175.62,0.17,0.01,0.0,0.1
19.0,4.0,1.0,153.28,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.7,768.0,798.0,795.0,779.0,406.25,180.0,173.12,172.5,0.18,0.0,0.0,0.1
19.0,4.0,2.0,153.3,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.8,768.0,798.0,795.0,779.0,406.25,181.25,174.38,175.62,0.18,0.01,0.0,0.1
19.0,4.0,3.0,153.32,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.8,768.0,798.0,795.0,779.0,406.88,182.5,174.38,176.88,0.18,0.01,0.0,0.1
19.0,4.0,4.0,153.33,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.8,768.0,798.0,795.0,779.0,406.88,182.5,174.38,176.88,0.18,0.01,0.0,0.1
19.0,4.0,5.0,153.35,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.9,768.0,798.0,795.0,779.0,409.38,181.25,173.12,175.62,0.18,0.01,0.0,0.11
19.0,4.0,6.0,153.37,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.9,768.0,798.0,795.0,779.0,409.38,180.62,171.88,176.88,0.18,0.01,0.0,0.11
19.0,4.0,7.0,153.38,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,811.9,768.0,798.0,795.0,779.0,408.12,177.5,170.62,176.88,0.18,0.01,0.0,0.11
19.0,4.0,8.0,153.4,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.0,768.0,798.0,795.0,779.0,408.12,179.38,171.88,178.12,0.18,0.01,0.0,0.11
19.0,4.0,9.0,153.42,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.0,768.0,798.0,795.0,779.0,407.5,180.0,173.12,180.0,0.18,0.01,0.0,0.11
19.0,4.0,10.0,153.43,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.0,768.0,798.0,795.0,779.0,407.5,180.0,173.12,180.0,0.19,0.01,0.0,0.11
19.0,4.0,11.0,153.45,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.0,768.0,798.0,795.0,779.0,406.88,179.38,171.88,178.12,0.19,0.01,0.0,0.11
19.0,4.0,12.0,153.47,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.0,768.0,798.0,795.0,779.0,406.25,178.12,170.62,177.5,0.19,0.01,0.0,0.11
19.0,4.0,13.0,153.48,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.0,768.0,798.0,795.0,779.0,406.25,178.12,170.62,177.5,0.18,0.01,0.0,0.11
19.0,4.0,14.0,153.5,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.0,768.0,798.0,795.0,779.0,406.25,177.5,167.5,177.5,0.19,0.01,0.0,0.11
19.0,4.0,15.0,153.52,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.1,768.0,798.0,795.0,779.0,406.25,177.5,170.0,178.75,0.19,0.01,0.0,0.11
19.0,4.0,16.0,153.53,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.1,768.0,798.0,795.0,779.0,406.25,177.5,170.0,181.88,0.19,0.01,0.0,0.14
19.0,4.0,17.0,153.55,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.1,768.0,798.0,795.0,779.0,406.25,177.5,170.62,181.88,0.19,0.01,0.0,0.14
19.0,4.0,18.0,153.57,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.1,768.0,798.0,795.0,779.0,406.25,173.12,165.62,178.12,0.19,0.01,0.0,0.14
19.0,4.0,19.0,153.58,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.1,768.0,798.0,795.0,779.0,406.25,173.12,168.12,178.75,0.21,0.01,0.0,0.14
19.0,4.0,20.0,153.6,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.1,768.0,798.0,795.0,779.0,403.75,171.25,161.88,174.38,0.21,0.01,0.0,0.15
19.0,4.0,21.0,153.62,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.1,768.0,798.0,795.0,779.0,403.75,171.25,161.88,158.75,0.21,0.01,0.0,0.14
19.0,4.0,22.0,153.63,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.2,768.0,798.0,795.0,779.0,401.88,158.12,148.75,151.25,0.21,0.01,0.0,0.14
19.0,4.0,23.0,153.65,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.2,768.0,798.0,795.0,779.0,399.38,148.75,141.88,151.25,0.21,0.01,0.0,0.14
19.0,4.0,24.0,153.67,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.2,768.0,798.0,795.0,779.0,396.88,139.38,131.25,140.0,0.21,0.01,0.0,0.15
19.0,4.0,25.0,153.68,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.2,768.0,798.0,795.0,779.0,393.12,132.5,126.25,133.75,0.21,0.01,0.0,0.15
19.0,4.0,26.0,153.7,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.2,768.0,798.0,795.0,779.0,388.75,129.38,123.75,130.0,0.21,0.01,0.0,0.15
19.0,4.0,27.0,153.72,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.3,768.0,798.0,795.0,779.0,385.0,125.0,118.75,125.0,0.21,0.01,0.0,0.15
19.0,4.0,28.0,153.73,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.3,768.0,797.0,795.0,779.0,385.0,125.0,118.75,125.0,0.24,0.01,0.0,0.15
19.0,4.0,29.0,153.75,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.3,768.0,797.0,795.0,779.0,382.5,121.88,117.5,123.12,0.24,0.01,0.0,0.16
19.0,4.0,30.0,153.77,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.3,768.0,797.0,795.0,779.0,378.75,121.88,116.88,121.88,0.24,0.01,0.0,0.16
19.0,4.0,31.0,153.78,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.4,768.0,797.0,795.0,779.0,376.25,120.0,114.38,120.62,0.24,0.01,0.0,0.16
19.0,4.0,32.0,153.8,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.4,767.0,796.0,795.0,779.0,372.5,118.12,116.88,118.75,0.24,0.01,0.0,0.16
19.0,4.0,33.0,153.82,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.4,767.0,796.0,795.0,779.0,369.38,117.5,115.0,117.5,0.24,0.01,0.0,0.16
19.0,4.0,34.0,153.83,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.5,767.0,796.0,795.0,779.0,369.38,117.5,115.0,117.5,0.24,0.01,0.0,0.16
19.0,4.0,35.0,153.85,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.5,767.0,796.0,795.0,779.0,366.25,118.12,112.5,113.75,0.25,0.03,0.0,0.16
19.0,4.0,36.0,153.87,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.5,767.0,796.0,795.0,779.0,363.75,116.88,109.38,110.62,0.25,0.01,0.0,0.16
19.0,4.0,37.0,153.88,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.5,767.0,796.0,795.0,779.0,363.12,117.5,110.62,111.88,0.27,0.03,0.0,0.17
19.0,4.0,38.0,153.9,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.5,767.0,796.0,795.0,779.0,362.5,116.88,109.38,113.75,0.27,0.03,0.0,0.17
19.0,4.0,39.0,153.92,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.7,812.6,767.0,796.0,795.0,779.0,360.62,115.62,108.75,112.5,0.27,0.03,0.0,0.17
19.0,4.0,40.0,153.93,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.6,767.0,796.0,795.0,779.0,360.62,115.62,108.75,112.5,0.27,0.03,0.0,0.17
19.0,4.0,41.0,153.95,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.6,767.0,796.0,795.0,779.0,357.5,115.0,108.12,113.75,0.27,0.03,0.0,0.17
19.0,4.0,42.0,153.97,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.6,767.0,796.0,795.0,779.0,354.38,114.38,108.12,114.38,0.27,0.03,0.0,0.2
19.0,4.0,43.0,153.98,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.6,767.0,796.0,795.0,779.0,353.12,112.5,105.62,112.5,0.27,0.03,0.0,0.2
19.0,4.0,44.0,154.0,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.7,767.0,795.0,795.0,779.0,350.62,110.62,105.62,111.88,0.27,0.03,0.0,0.17
19.0,4.0,45.0,154.02,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.7,767.0,795.0,795.0,779.0,348.12,112.5,108.12,114.38,0.27,0.03,0.0,0.2
19.0,4.0,46.0,154.03,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.7,767.0,795.0,795.0,779.0,348.12,112.5,108.12,114.38,0.27,0.03,0.0,0.2
19.0,4.0,47.0,154.05,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.8,767.0,795.0,795.0,778.0,346.25,115.0,110.62,117.5,0.28,0.03,0.0,0.17
19.0,4.0,48.0,154.07,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.8,767.0,795.0,795.0,778.0,346.88,115.0,109.38,116.88,0.31,0.01,0.0,0.2
19.0,4.0,49.0,154.08,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.8,767.0,795.0,795.0,779.0,345.0,114.38,107.5,115.62,0.31,0.03,0.0,0.2
19.0,4.0,50.0,154.1,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.8,767.0,795.0,795.0,779.0,343.75,111.88,103.12,113.75,0.28,0.03,0.0,0.2
19.0,4.0,51.0,154.12,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.9,767.0,795.0,795.0,779.0,343.12,111.88,104.38,113.75,0.28,0.03,0.0,0.2
19.0,4.0,52.0,154.13,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.9,767.0,795.0,795.0,779.0,343.12,111.88,104.38,113.75,0.31,0.03,0.0,0.2
19.0,4.0,53.0,154.15,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,812.9,767.0,795.0,795.0,779.0,341.88,111.25,106.25,115.62,0.31,0.01,0.0,0.2
19.0,4.0,54.0,154.17,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,813.0,767.0,795.0,795.0,779.0,341.88,110.62,105.0,116.88,0.31,0.01,0.0,0.21
19.0,4.0,55.0,154.18,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,813.0,767.0,795.0,795.0,779.0,340.62,108.12,104.38,115.62,0.31,0.03,0.0,0.21
19.0,4.0,56.0,154.2,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,813.0,767.0,794.0,795.0,778.0,337.5,111.25,108.12,118.75,0.31,0.01,0.0,0.21
19.0,4.0,57.0,154.22,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.6,813.1,767.0,794.0,795.0,778.0,337.5,112.5,108.12,116.88,0.31,0.01,0.0,0.21
19.0,4.0,58.0,154.23,4.449,15.17857143,2.714285714,6.628064516,0.0,800.0,800.5,813.1,767.0,794.0,795.0,778.0,337.5,112.5,108.12,116.88,0.31,0.01,0.0,0.21
